ticker,horizon_weeks,train_months,task,feature_set,model,metric,mean_score,std_score,n_folds
IBB,1,1,classification,A_market_only,lasso,accuracy,0.5085168315209891,0.16369636985624333,71
IBB,1,1,classification,B_market_plus_literature,random_forest,accuracy,0.5167712885732675,0.17622224286954774,71
IBB,1,1,regression,A_market_only,random_forest,rmse,0.034852139305067885,0.016565574847779704,71
IBB,1,1,regression,B_market_plus_literature,random_forest,rmse,0.0332379448113647,0.01285423950698061,71
IBB,1,2,classification,A_market_only,lasso,accuracy,0.5225256039590789,0.17237279641703215,70
IBB,1,2,classification,B_market_plus_literature,random_forest,accuracy,0.5371588980922097,0.1621147244084002,70
IBB,1,2,regression,A_market_only,random_forest,rmse,0.03541733024721394,0.015303322949850826,70
IBB,1,2,regression,B_market_plus_literature,random_forest,rmse,0.03445554488436855,0.014280850257576869,70
IBB,1,3,classification,A_market_only,lasso,accuracy,0.522127517625478,0.17385426006420338,69
IBB,1,3,classification,B_market_plus_literature,xgboost,accuracy,0.5315405860127776,0.16486840855636545,69
IBB,1,3,regression,A_market_only,random_forest,rmse,0.03456710344932947,0.013575662723931632,69
IBB,1,3,regression,B_market_plus_literature,random_forest,rmse,0.033445862704836876,0.012675779272294064,69
IBB,2,1,classification,A_market_only,xgboost,accuracy,0.5311226895584529,0.2639369588797863,70
IBB,2,1,classification,B_market_plus_literature,random_forest,accuracy,0.5239939982650018,0.2662486207271453,70
IBB,2,1,regression,A_market_only,random_forest,rmse,0.04804609062285976,0.02808174038293024,70
IBB,2,1,regression,B_market_plus_literature,random_forest,rmse,0.04673479682653473,0.02653589868608154,70
IBB,2,2,classification,A_market_only,xgboost,accuracy,0.5056735217490367,0.24832642414296457,70
IBB,2,2,classification,B_market_plus_literature,random_forest,accuracy,0.49894702878030756,0.24434540537002253,70
IBB,2,2,regression,A_market_only,random_forest,rmse,0.049765151490028345,0.02708246653237137,70
IBB,2,2,regression,B_market_plus_literature,random_forest,rmse,0.04807010030565291,0.024927576886679913,70
IBB,2,3,classification,A_market_only,xgboost,accuracy,0.5015519982289458,0.23871969030044143,69
IBB,2,3,classification,B_market_plus_literature,random_forest,accuracy,0.5005376404291936,0.2497388331028092,69
IBB,2,3,regression,A_market_only,random_forest,rmse,0.049065889325929514,0.023637244547095638,69
IBB,2,3,regression,B_market_plus_literature,random_forest,rmse,0.047600557944087254,0.021679254819469484,69
IBB,3,1,classification,A_market_only,lasso,accuracy,0.5111064434094835,0.2800788356167941,70
IBB,3,1,classification,B_market_plus_literature,lasso,accuracy,0.5182913806254767,0.28025424452196684,70
IBB,3,1,regression,A_market_only,random_forest,rmse,0.059443732723274884,0.038496468468782415,70
IBB,3,1,regression,B_market_plus_literature,random_forest,rmse,0.05849218515844041,0.03866839191906738,70
IBB,3,2,classification,A_market_only,lasso,accuracy,0.48987285407193887,0.2789436274718318,70
IBB,3,2,classification,B_market_plus_literature,lasso,accuracy,0.5177609537678187,0.2790689756287352,70
IBB,3,2,regression,A_market_only,random_forest,rmse,0.062113050597763016,0.03593339589298333,70
IBB,3,2,regression,B_market_plus_literature,random_forest,rmse,0.05980414182774452,0.037318590482373834,70
IBB,3,3,classification,A_market_only,random_forest,accuracy,0.4793276153091096,0.27231849195040614,69
IBB,3,3,classification,B_market_plus_literature,lasso,accuracy,0.526149932602027,0.2750061258314862,69
IBB,3,3,regression,A_market_only,xgboost,rmse,0.059614146480192656,0.028192047244886234,69
IBB,3,3,regression,B_market_plus_literature,random_forest,rmse,0.05661243299711235,0.03356921079858,69
IBB,4,1,classification,A_market_only,random_forest,accuracy,0.4929021169524601,0.3279812406433982,70
IBB,4,1,classification,B_market_plus_literature,xgboost,accuracy,0.4896012405378211,0.3253440402231847,70
IBB,4,1,regression,A_market_only,random_forest,rmse,0.06784836726956123,0.04173281529138325,69
IBB,4,1,regression,B_market_plus_literature,random_forest,rmse,0.06726578390478,0.041814345884833064,69
IBB,4,2,classification,A_market_only,xgboost,accuracy,0.45271693491209675,0.31492853700325385,70
IBB,4,2,classification,B_market_plus_literature,lasso,accuracy,0.49592155855477205,0.296738873633287,70
IBB,4,2,regression,A_market_only,xgboost,rmse,0.07161249208792558,0.042062746397596454,69
IBB,4,2,regression,B_market_plus_literature,xgboost,rmse,0.06976256909937258,0.04081412019911076,69
IBB,4,3,classification,A_market_only,lasso,accuracy,0.5001220758259858,0.2871747734008881,69
IBB,4,3,classification,B_market_plus_literature,lasso,accuracy,0.5049862368586873,0.26940653753969385,69
IBB,4,3,regression,A_market_only,xgboost,rmse,0.06903587225746985,0.038125767526224326,68
IBB,4,3,regression,B_market_plus_literature,random_forest,rmse,0.06386145400703758,0.036484245368662314,68
IBB,5,1,classification,A_market_only,random_forest,accuracy,0.4962339572816853,0.34751309522463814,70
IBB,5,1,classification,B_market_plus_literature,random_forest,accuracy,0.4924074655866091,0.3311616829642419,70
IBB,5,1,regression,A_market_only,random_forest,rmse,0.0797399029567503,0.05099351403335695,69
IBB,5,1,regression,B_market_plus_literature,random_forest,rmse,0.07776371607899836,0.04807928113182154,69
IBB,5,2,classification,A_market_only,lasso,accuracy,0.5233724769291948,0.2963415457872241,70
IBB,5,2,classification,B_market_plus_literature,lasso,accuracy,0.5393677587531789,0.3048895101555495,70
IBB,5,2,regression,A_market_only,random_forest,rmse,0.08038660869291599,0.04915486012739687,69
IBB,5,2,regression,B_market_plus_literature,random_forest,rmse,0.07736591292793854,0.04287633782857659,69
IBB,5,3,classification,A_market_only,lasso,accuracy,0.4985113798415957,0.29244995647941324,69
IBB,5,3,classification,B_market_plus_literature,lasso,accuracy,0.4945624501191111,0.3033944998625713,69
IBB,5,3,regression,A_market_only,xgboost,rmse,0.07691788019798322,0.04798313666887337,68
IBB,5,3,regression,B_market_plus_literature,xgboost,rmse,0.07149252324191106,0.04131816213734417,68
IBB,6,1,classification,A_market_only,random_forest,accuracy,0.4575981182836222,0.34055046263616884,69
IBB,6,1,classification,B_market_plus_literature,random_forest,accuracy,0.4963244595420499,0.35296701074581216,69
IBB,6,1,regression,A_market_only,random_forest,rmse,0.08658090669308717,0.051332142905277,68
IBB,6,1,regression,B_market_plus_literature,random_forest,rmse,0.08470628349926268,0.0510382636845301,68
IBB,6,2,classification,A_market_only,lasso,accuracy,0.48503497961263353,0.3328080185819952,69
IBB,6,2,classification,B_market_plus_literature,random_forest,accuracy,0.5183613355437054,0.34335846608657483,69
IBB,6,2,regression,A_market_only,random_forest,rmse,0.0812290985818742,0.04985125856520492,68
IBB,6,2,regression,B_market_plus_literature,random_forest,rmse,0.07914946234229803,0.04685945056776658,68
IBB,6,3,classification,A_market_only,lasso,accuracy,0.5166002377772352,0.30633423098859547,69
IBB,6,3,classification,B_market_plus_literature,random_forest,accuracy,0.512087954606112,0.3332768435678942,69
IBB,6,3,regression,A_market_only,xgboost,rmse,0.07843150783651975,0.046293660838315764,68
IBB,6,3,regression,B_market_plus_literature,xgboost,rmse,0.07581860983314913,0.042008082029111,68
IBB,7,1,classification,A_market_only,lasso,accuracy,0.4942183105699174,0.3728243646997679,69
IBB,7,1,classification,B_market_plus_literature,lasso,accuracy,0.47947205902135764,0.37424206459961423,69
IBB,7,1,regression,A_market_only,random_forest,rmse,0.09243947772784537,0.05419558809591126,68
IBB,7,1,regression,B_market_plus_literature,random_forest,rmse,0.09183110971612592,0.05457216161709848,68
IBB,7,2,classification,A_market_only,xgboost,accuracy,0.4758025843092006,0.35663692253873774,69
IBB,7,2,classification,B_market_plus_literature,lasso,accuracy,0.47499141104752485,0.3445043497503923,69
IBB,7,2,regression,A_market_only,random_forest,rmse,0.08816839088026505,0.05011887089669564,68
IBB,7,2,regression,B_market_plus_literature,random_forest,rmse,0.08557490642021932,0.04773989015329586,68
IBB,7,3,classification,A_market_only,lasso,accuracy,0.5224992006854507,0.33707498792686463,69
IBB,7,3,classification,B_market_plus_literature,lasso,accuracy,0.4989231542509824,0.3481042563077735,69
IBB,7,3,regression,A_market_only,xgboost,rmse,0.08342529989594075,0.04411894472242888,68
IBB,7,3,regression,B_market_plus_literature,xgboost,rmse,0.08109418000622005,0.0422174776409119,68
IBB,8,1,classification,A_market_only,lasso,accuracy,0.4566948677186465,0.38374977971114854,69
IBB,8,1,classification,B_market_plus_literature,lasso,accuracy,0.46948450349107007,0.37283830196617634,69
IBB,8,1,regression,A_market_only,random_forest,rmse,0.1007116357814905,0.058292571590746294,67
IBB,8,1,regression,B_market_plus_literature,random_forest,rmse,0.09978861836375069,0.05581384661816978,67
IBB,8,2,classification,A_market_only,lasso,accuracy,0.46791969182278614,0.36436654417880127,69
IBB,8,2,classification,B_market_plus_literature,random_forest,accuracy,0.475576995992875,0.370518041689553,69
IBB,8,2,regression,A_market_only,xgboost,rmse,0.09781257560710155,0.056293073615144545,67
IBB,8,2,regression,B_market_plus_literature,random_forest,rmse,0.09490683574698305,0.051443172825228395,67
IBB,8,3,classification,A_market_only,lasso,accuracy,0.534523604939484,0.3294363691669313,69
