date,daily_pubs,core_count,award_count,funder_count,avg_num_keywords,core_share,award_share,funder_share,daily_pubs_7d_avg,daily_pubs_14d_avg,daily_pubs_30d_avg,core_count_7d_avg,core_count_14d_avg,core_count_30d_avg,award_count_7d_avg,award_count_14d_avg,award_count_30d_avg,funder_count_7d_avg,funder_count_14d_avg,funder_count_30d_avg,avg_num_keywords_7d_avg,avg_num_keywords_14d_avg,avg_num_keywords_30d_avg,daily_pubs_growth_1d,daily_pubs_growth_7d,daily_pubs_growth_14d,daily_pubs_zscore_30d,unique_keywords,keyword_entropy,total_keyword_mentions,top10_keyword_mentions,top10_keyword_concentration,unique_keywords_7d_avg,keyword_entropy_7d_avg,new_keyword_count,new_keyword_share,new_keyword_count_14d_avg,unique_subfields,subfield_entropy,dominant_subfield_share,dominant_subfield_changed,kw_count__biochemistry,kw_count__biology,kw_count__cancer-research,kw_count__cell-biology,kw_count__chemistry,kw_count__gene,kw_count__genetics,kw_count__internal-medicine,kw_count__medicine,kw_count__pharmacology,sf_count__1306.0,sf_count__1307.0,sf_count__1311.0,sf_count__1312.0,sf_count__1313.0,sf_count__3003.0,sf_count__3004.0,sf_count__3005.0
2020-01-01,210,171,80,100,12.380952380952381,0.8142857142857143,0.38095238095238093,0.47619047619047616,210.0,210.0,210.0,171.0,171.0,171.0,80.0,80.0,80.0,100.0,100.0,100.0,12.380952380952381,12.380952380952381,12.380952380952381,0.0,0.0,0.0,0.0,1005,5.887399262303912,2600,671.0,0.2580769230769231,1005.0,5.887399262303912,1005.0,1.0,1005.0,14,1.8487843427887238,0.43333333333333335,0,79.0,124.0,47.0,35.0,98.0,43.0,45.0,60.0,106.0,34.0,20,7,8,91,9,15,38,12
2020-01-02,204,200,108,140,13.681372549019608,0.9803921568627451,0.5294117647058824,0.6862745098039216,207.0,207.0,207.0,185.5,185.5,185.5,94.0,94.0,94.0,120.0,120.0,120.0,13.031162464985995,13.031162464985995,13.031162464985995,-0.02857142857142858,0.0,0.0,0.0,1196,6.148633257517253,2791,665.0,0.23826585453242566,1100.5,6.018016259910583,840.0,0.7023411371237458,922.5,16,1.874079908139331,0.47058823529411764,0,68.0,138.0,33.0,53.0,88.0,74.0,68.0,43.0,74.0,26.0,17,16,24,96,7,17,9,1
2020-01-03,167,163,96,118,13.0,0.9760479041916168,0.5748502994011976,0.7065868263473054,193.66666666666666,193.66666666666666,193.66666666666666,178.0,178.0,178.0,94.66666666666667,94.66666666666667,94.66666666666667,119.33333333333333,119.33333333333333,119.33333333333333,13.02077497665733,13.02077497665733,13.02077497665733,-0.18137254901960786,0.0,0.0,0.0,936,5.961897373510547,2171,525.0,0.2418240442192538,1045.6666666666667,5.999309964443904,461.0,0.49252136752136755,768.6666666666666,14,1.8220756612952895,0.48502994011976047,0,48.0,115.0,29.0,40.0,53.0,58.0,50.0,48.0,71.0,13.0,18,15,15,81,5,6,11,3
2020-01-04,43,43,27,30,14.55813953488372,1.0,0.627906976744186,0.6976744186046512,156.0,156.0,156.0,144.25,144.25,144.25,77.75,77.75,77.75,97.0,97.0,97.0,13.405116116213927,13.405116116213927,13.405116116213927,-0.7425149700598803,0.0,0.0,0.0,388,5.537456787796603,626,134.0,0.21405750798722045,881.25,5.883846670282079,149.0,0.38402061855670105,613.75,10,1.65908697150415,0.5348837209302325,0,16.0,32.0,6.0,8.0,16.0,14.0,13.0,11.0,15.0,3.0,3,2,5,23,2,2,2,2
2020-01-05,40,40,29,32,13.25,1.0,0.725,0.8,132.8,132.8,132.8,123.4,123.4,123.4,68.0,68.0,68.0,84.0,84.0,84.0,13.374092892971143,13.374092892971143,13.374092892971143,-0.06976744186046513,0.0,0.0,-1.2211625749871133,324,5.337681146746001,530,123.0,0.2320754716981132,769.8,5.774613565574863,111.0,0.3425925925925926,513.2,11,1.7489626018127462,0.5,0,14.0,30.0,3.0,7.0,24.0,12.0,11.0,5.0,12.0,5.0,3,1,4,20,3,0,4,0
2020-01-06,191,189,115,130,13.659685863874346,0.9895287958115183,0.6020942408376964,0.680628272251309,142.5,142.5,142.5,134.33333333333334,134.33333333333334,134.33333333333334,75.83333333333333,75.83333333333333,75.83333333333333,91.66666666666667,91.66666666666667,91.66666666666667,13.42169172145501,13.42169172145501,13.42169172145501,3.7750000000000004,0.0,0.0,0.6672750070328181,1092,6.00451847466182,2609,687.0,0.2633192794174013,823.5,5.81293105042269,464.0,0.4249084249084249,505.0,14,1.6778210044317696,0.5340314136125655,0,79.0,146.0,42.0,47.0,75.0,84.0,75.0,50.0,71.0,18.0,22,9,22,102,5,7,8,4
2020-01-07,258,253,151,194,13.674418604651162,0.9806201550387597,0.5852713178294574,0.751937984496124,159.0,159.0,159.0,151.28571428571428,151.28571428571428,151.28571428571428,86.57142857142857,86.57142857142857,86.57142857142857,106.28571428571429,106.28571428571429,106.28571428571429,13.4577955619116,13.4577955619116,13.4577955619116,0.3507853403141361,0.0,0.0,1.2612013191812024,1345,6.177147920943402,3528,833.0,0.2361111111111111,898.0,5.864962031925649,565.0,0.4200743494423792,513.5714285714286,15,1.7278061553173791,0.5348837209302325,0,92.0,180.0,42.0,50.0,112.0,76.0,74.0,68.0,105.0,34.0,19,12,29,138,11,16,12,4
2020-01-08,221,216,118,154,13.389140271493213,0.9773755656108597,0.5339366515837104,0.6968325791855203,160.57142857142858,166.75,166.75,157.71428571428572,159.375,159.375,92.0,90.5,90.5,114.0,112.25,112.25,13.601822403417435,13.449213650609304,13.449213650609304,-0.14341085271317833,0.05238095238095242,0.0,0.711605465181183,1271,6.209437850378044,2959,680.0,0.22980736735383575,936.0,5.910967544507666,466.0,0.36664044059795436,507.625,17,1.7566056958819989,0.5520361990950227,0,74.0,154.0,28.0,55.0,93.0,68.0,70.0,48.0,68.0,22.0,17,10,13,122,11,12,15,3
2020-01-09,195,193,122,149,13.8,0.9897435897435898,0.6256410256410256,0.764102564102564,159.28571428571428,169.88888888888889,169.88888888888889,156.71428571428572,163.11111111111111,163.11111111111111,94.0,94.0,94.0,115.28571428571429,116.33333333333333,116.33333333333333,13.618769182128919,13.488189911652714,13.488189911652714,-0.11764705882352944,-0.044117647058823484,0.0,0.3467318162858582,1098,6.040171008789935,2691,649.0,0.24117428465254553,922.0,5.895472937546622,360.0,0.32786885245901637,491.22222222222223,16,1.6525868572084415,0.5641025641025641,0,76.0,143.0,38.0,53.0,85.0,73.0,57.0,49.0,64.0,11.0,20,10,18,110,5,10,6,3
2020-01-10,244,234,137,179,13.311475409836065,0.9590163934426229,0.5614754098360656,0.7336065573770492,170.28571428571428,177.3,177.3,166.85714285714286,170.2,170.2,99.85714285714286,98.3,98.3,124.0,122.6,122.6,13.663265669248359,13.47051846147105,13.47051846147105,0.2512820512820513,0.4610778443113772,0.0,0.9236482018363594,1269,6.082018184692992,3248,812.0,0.25,969.5714285714286,5.912633053429828,373.0,0.29393223010244285,479.4,15,1.6315763378007702,0.5655737704918032,0,87.0,186.0,37.0,59.0,85.0,95.0,85.0,71.0,98.0,9.0,22,8,26,138,4,5,17,5
