ticker,horizon_weeks,train_months,task,feature_set,n_folds
XBI,1,1,regression,A_market_only,71
XBI,1,1,regression,B_market_plus_literature,71
XBI,1,1,classification,A_market_only,71
XBI,1,1,classification,B_market_plus_literature,71
XBI,1,2,regression,A_market_only,70
XBI,1,2,regression,B_market_plus_literature,70
XBI,1,2,classification,A_market_only,70
XBI,1,2,classification,B_market_plus_literature,70
XBI,1,3,regression,A_market_only,69
XBI,1,3,regression,B_market_plus_literature,69
XBI,1,3,classification,A_market_only,69
XBI,1,3,classification,B_market_plus_literature,69
XBI,2,1,regression,A_market_only,70
XBI,2,1,regression,B_market_plus_literature,70
XBI,2,1,classification,A_market_only,70
XBI,2,1,classification,B_market_plus_literature,70
XBI,2,2,regression,A_market_only,70
XBI,2,2,regression,B_market_plus_literature,70
XBI,2,2,classification,A_market_only,70
XBI,2,2,classification,B_market_plus_literature,70
XBI,2,3,regression,A_market_only,69
XBI,2,3,regression,B_market_plus_literature,69
XBI,2,3,classification,A_market_only,69
XBI,2,3,classification,B_market_plus_literature,69
XBI,3,1,regression,A_market_only,70
XBI,3,1,regression,B_market_plus_literature,70
XBI,3,1,classification,A_market_only,70
XBI,3,1,classification,B_market_plus_literature,70
XBI,3,2,regression,A_market_only,70
XBI,3,2,regression,B_market_plus_literature,70
XBI,3,2,classification,A_market_only,70
XBI,3,2,classification,B_market_plus_literature,70
XBI,3,3,regression,A_market_only,69
XBI,3,3,regression,B_market_plus_literature,69
XBI,3,3,classification,A_market_only,69
XBI,3,3,classification,B_market_plus_literature,69
XBI,4,1,regression,A_market_only,69
XBI,4,1,regression,B_market_plus_literature,69
XBI,4,1,classification,A_market_only,70
XBI,4,1,classification,B_market_plus_literature,70
XBI,4,2,regression,A_market_only,69
XBI,4,2,regression,B_market_plus_literature,69
XBI,4,2,classification,A_market_only,70
XBI,4,2,classification,B_market_plus_literature,70
XBI,4,3,regression,A_market_only,68
XBI,4,3,regression,B_market_plus_literature,68
XBI,4,3,classification,A_market_only,69
XBI,4,3,classification,B_market_plus_literature,69
XBI,5,1,regression,A_market_only,69
XBI,5,1,regression,B_market_plus_literature,69
XBI,5,1,classification,A_market_only,70
XBI,5,1,classification,B_market_plus_literature,70
XBI,5,2,regression,A_market_only,69
XBI,5,2,regression,B_market_plus_literature,69
XBI,5,2,classification,A_market_only,70
XBI,5,2,classification,B_market_plus_literature,70
XBI,5,3,regression,A_market_only,68
XBI,5,3,regression,B_market_plus_literature,68
XBI,5,3,classification,A_market_only,69
XBI,5,3,classification,B_market_plus_literature,69
XBI,6,1,regression,A_market_only,68
XBI,6,1,regression,B_market_plus_literature,68
XBI,6,1,classification,A_market_only,69
XBI,6,1,classification,B_market_plus_literature,69
XBI,6,2,regression,A_market_only,68
XBI,6,2,regression,B_market_plus_literature,68
XBI,6,2,classification,A_market_only,69
XBI,6,2,classification,B_market_plus_literature,69
XBI,6,3,regression,A_market_only,68
XBI,6,3,regression,B_market_plus_literature,68
XBI,6,3,classification,A_market_only,69
