ticker,horizon_weeks,train_months,task,feature_set,model,metric,mean_score,std_score,n_folds
IHI,1,1,classification,A_market_only,lasso,accuracy,0.49468988537702874,0.173400523740152,71
IHI,1,1,classification,B_market_plus_literature,lasso,accuracy,0.5030210665560523,0.1634811192788612,71
IHI,1,1,regression,A_market_only,random_forest,rmse,0.031739444222218124,0.014975585882307995,71
IHI,1,1,regression,B_market_plus_literature,random_forest,rmse,0.030519379809179913,0.01347720531860327,71
IHI,1,2,classification,A_market_only,lasso,accuracy,0.4686635915027546,0.1800108563455203,70
IHI,1,2,classification,B_market_plus_literature,lasso,accuracy,0.49557609438616307,0.19432755020345968,70
IHI,1,2,regression,A_market_only,random_forest,rmse,0.031821468813990304,0.015397703839006982,70
IHI,1,2,regression,B_market_plus_literature,random_forest,rmse,0.029749019619143346,0.013773079836682914,70
IHI,1,3,classification,A_market_only,random_forest,accuracy,0.4942236871895613,0.18072315537928807,69
IHI,1,3,classification,B_market_plus_literature,lasso,accuracy,0.49450339344379735,0.17270134691587274,69
IHI,1,3,regression,A_market_only,random_forest,rmse,0.03053786890179875,0.013262244577263174,69
IHI,1,3,regression,B_market_plus_literature,random_forest,rmse,0.02853168310468084,0.011422502486669869,69
IHI,2,1,classification,A_market_only,lasso,accuracy,0.46003506790692145,0.21084382052800932,70
IHI,2,1,classification,B_market_plus_literature,lasso,accuracy,0.4592365512878752,0.22028947605258062,70
IHI,2,1,regression,A_market_only,random_forest,rmse,0.045403136977661455,0.02866263507812469,70
IHI,2,1,regression,B_market_plus_literature,random_forest,rmse,0.04392401389486972,0.026018538171509127,70
IHI,2,2,classification,A_market_only,random_forest,accuracy,0.46722604789783606,0.24384363725048813,70
IHI,2,2,classification,B_market_plus_literature,xgboost,accuracy,0.47477045238732063,0.24467116081716003,70
IHI,2,2,regression,A_market_only,random_forest,rmse,0.046367324997867373,0.028495638332025067,70
IHI,2,2,regression,B_market_plus_literature,random_forest,rmse,0.04372690448970849,0.027037992580074808,70
IHI,2,3,classification,A_market_only,lasso,accuracy,0.49918160527055166,0.2238628019927982,69
IHI,2,3,classification,B_market_plus_literature,lasso,accuracy,0.5168557671890673,0.201230283814035,69
IHI,2,3,regression,A_market_only,random_forest,rmse,0.04532317678246005,0.026705242889578245,69
IHI,2,3,regression,B_market_plus_literature,random_forest,rmse,0.0407712521438628,0.02203708149945975,69
IHI,3,1,classification,A_market_only,lasso,accuracy,0.4973353131558428,0.2883136297444041,70
IHI,3,1,classification,B_market_plus_literature,xgboost,accuracy,0.47696047713864,0.30111766514562077,70
IHI,3,1,regression,A_market_only,random_forest,rmse,0.055447400056085804,0.03574396217382319,70
IHI,3,1,regression,B_market_plus_literature,random_forest,rmse,0.05450336438914402,0.03488788374918877,70
IHI,3,2,classification,A_market_only,lasso,accuracy,0.47679477491017214,0.27264776236821303,70
IHI,3,2,classification,B_market_plus_literature,lasso,accuracy,0.4800571445553466,0.27640094610014404,70
IHI,3,2,regression,A_market_only,random_forest,rmse,0.05481008820502092,0.0358496593139516,70
IHI,3,2,regression,B_market_plus_literature,random_forest,rmse,0.05326793771680716,0.032907344646266476,70
IHI,3,3,classification,A_market_only,random_forest,accuracy,0.46310130743023,0.2795794625223973,69
IHI,3,3,classification,B_market_plus_literature,random_forest,accuracy,0.45821497950639334,0.2804330845088661,69
IHI,3,3,regression,A_market_only,random_forest,rmse,0.05583530307565287,0.03719300215641502,69
IHI,3,3,regression,B_market_plus_literature,random_forest,rmse,0.054113175101498934,0.03368292442652428,69
IHI,4,1,classification,A_market_only,xgboost,accuracy,0.4443095528205041,0.2959953462908779,70
IHI,4,1,classification,B_market_plus_literature,xgboost,accuracy,0.4736383094947986,0.29682232766656713,70
IHI,4,1,regression,A_market_only,random_forest,rmse,0.06245233988053403,0.03978997908499571,69
IHI,4,1,regression,B_market_plus_literature,random_forest,rmse,0.06218639879267845,0.039975380229781046,69
IHI,4,2,classification,A_market_only,random_forest,accuracy,0.48776623942691283,0.2748384648491196,70
IHI,4,2,classification,B_market_plus_literature,random_forest,accuracy,0.4896185692916651,0.28693897679213237,70
IHI,4,2,regression,A_market_only,random_forest,rmse,0.06265552312359661,0.04229074679942107,69
IHI,4,2,regression,B_market_plus_literature,random_forest,rmse,0.06127246683260954,0.04143358793616594,69
IHI,4,3,classification,A_market_only,random_forest,accuracy,0.445095216416478,0.26986196015211233,69
IHI,4,3,classification,B_market_plus_literature,random_forest,accuracy,0.4720776923692056,0.27313843972407836,69
IHI,4,3,regression,A_market_only,xgboost,rmse,0.06309557509821838,0.04379128316286243,68
IHI,4,3,regression,B_market_plus_literature,random_forest,rmse,0.06067065110277041,0.0387778602217658,68
IHI,5,1,classification,A_market_only,random_forest,accuracy,0.4925261487994407,0.31674090826517654,70
IHI,5,1,classification,B_market_plus_literature,lasso,accuracy,0.4893797523169866,0.2985938787298824,70
IHI,5,1,regression,A_market_only,random_forest,rmse,0.06877469043270347,0.04772780641064772,69
IHI,5,1,regression,B_market_plus_literature,random_forest,rmse,0.06869197124752098,0.04704131324259375,69
IHI,5,2,classification,A_market_only,random_forest,accuracy,0.4684368105469773,0.3050396244478397,70
IHI,5,2,classification,B_market_plus_literature,random_forest,accuracy,0.5087345481150644,0.29635218790001133,70
IHI,5,2,regression,A_market_only,xgboost,rmse,0.07183080274986682,0.04994053235140561,69
IHI,5,2,regression,B_market_plus_literature,xgboost,rmse,0.06926344564395744,0.04761229052300623,69
IHI,5,3,classification,A_market_only,lasso,accuracy,0.43952555531005444,0.30151459120427015,69
IHI,5,3,classification,B_market_plus_literature,xgboost,accuracy,0.46348016170919365,0.29881019752408766,69
IHI,5,3,regression,A_market_only,xgboost,rmse,0.07047556544428168,0.050493988932259246,68
IHI,5,3,regression,B_market_plus_literature,random_forest,rmse,0.0665488302575198,0.04895912789085807,68
IHI,6,1,classification,A_market_only,xgboost,accuracy,0.5167779820749674,0.32518445603203994,69
IHI,6,1,classification,B_market_plus_literature,xgboost,accuracy,0.5112267550930369,0.33408056987039875,69
IHI,6,1,regression,A_market_only,random_forest,rmse,0.07182448544880561,0.050901712630781346,68
IHI,6,1,regression,B_market_plus_literature,random_forest,rmse,0.07154762651423983,0.05098392173078236,68
IHI,6,2,classification,A_market_only,random_forest,accuracy,0.5267200983497868,0.31633996808160264,69
IHI,6,2,classification,B_market_plus_literature,random_forest,accuracy,0.5426649699806598,0.32639310969474494,69
IHI,6,2,regression,A_market_only,xgboost,rmse,0.07241594062362439,0.04858597140114475,68
IHI,6,2,regression,B_market_plus_literature,random_forest,rmse,0.0711401670871229,0.05213280668812239,68
IHI,6,3,classification,A_market_only,lasso,accuracy,0.5432390479549967,0.28500533699480385,69
IHI,6,3,classification,B_market_plus_literature,lasso,accuracy,0.5524296865208219,0.30919736243211404,69
IHI,6,3,regression,A_market_only,xgboost,rmse,0.07221291793250599,0.047485100942589085,68
IHI,6,3,regression,B_market_plus_literature,random_forest,rmse,0.06920148608852236,0.049942739991301624,68
IHI,7,1,classification,A_market_only,random_forest,accuracy,0.5475182988117022,0.3565632085229188,69
IHI,7,1,classification,B_market_plus_literature,random_forest,accuracy,0.5555880593389297,0.3565784256967758,69
IHI,7,1,regression,A_market_only,random_forest,rmse,0.07291887037018611,0.0488516648540035,68
IHI,7,1,regression,B_market_plus_literature,random_forest,rmse,0.07437821657733344,0.05071711033856136,68
IHI,7,2,classification,A_market_only,lasso,accuracy,0.5391124959675353,0.32547638599807754,69
IHI,7,2,classification,B_market_plus_literature,lasso,accuracy,0.5722652136441808,0.33308162032030286,69
IHI,7,2,regression,A_market_only,random_forest,rmse,0.07160700244328283,0.04652926262049941,68
IHI,7,2,regression,B_market_plus_literature,random_forest,rmse,0.06854853555848517,0.05066473134554352,68
IHI,7,3,classification,A_market_only,lasso,accuracy,0.5415882103724109,0.33354617254970387,69
IHI,7,3,classification,B_market_plus_literature,lasso,accuracy,0.5752430282327804,0.3332014619366029,69
IHI,7,3,regression,A_market_only,random_forest,rmse,0.06857291239180198,0.04085033564465351,68
IHI,7,3,regression,B_market_plus_literature,random_forest,rmse,0.06724803964227584,0.04547384329139541,68
IHI,8,1,classification,A_market_only,random_forest,accuracy,0.5437784327347555,0.35740800506500847,69
IHI,8,1,classification,B_market_plus_literature,random_forest,accuracy,0.5564985313716783,0.36014557012747,69
IHI,8,1,regression,A_market_only,random_forest,rmse,0.07595906026756497,0.051862697246858706,67
IHI,8,1,regression,B_market_plus_literature,random_forest,rmse,0.0773012653749189,0.05317636322172741,67
IHI,8,2,classification,A_market_only,xgboost,accuracy,0.5537120138950802,0.32808656868976716,69
IHI,8,2,classification,B_market_plus_literature,lasso,accuracy,0.5633424800472854,0.3172300981701025,69
IHI,8,2,regression,A_market_only,xgboost,rmse,0.0733242794506894,0.049310497236452915,67
IHI,8,2,regression,B_market_plus_literature,random_forest,rmse,0.07290143995173178,0.05366212503686089,67
IHI,8,3,classification,A_market_only,lasso,accuracy,0.5844903402459863,0.32072189886213626,69
IHI,8,3,classification,B_market_plus_literature,lasso,accuracy,0.6128526764582879,0.32482900031193457,69
IHI,8,3,regression,A_market_only,xgboost,rmse,0.07331529364330125,0.046947505469075806,67
IHI,8,3,regression,B_market_plus_literature,xgboost,rmse,0.07034310257163665,0.049186820967164493,67
XHE,1,1,classification,A_market_only,lasso,accuracy,0.4903823956149351,0.1853967405698675,71
XHE,1,1,classification,B_market_plus_literature,lasso,accuracy,0.48201632651466675,0.1741614730250031,71
XHE,1,1,regression,A_market_only,random_forest,rmse,0.03919099575226958,0.018707224073454883,71
XHE,1,1,regression,B_market_plus_literature,random_forest,rmse,0.037277191754318616,0.01619671431847608,71
XHE,1,2,classification,A_market_only,xgboost,accuracy,0.4921612826532734,0.1744465534954958,70
XHE,1,2,classification,B_market_plus_literature,xgboost,accuracy,0.49814653799943115,0.1587584146167274,70
XHE,1,2,regression,A_market_only,random_forest,rmse,0.03994536514116711,0.020028228048421613,70
XHE,1,2,regression,B_market_plus_literature,random_forest,rmse,0.03772750479779445,0.0168722096429277,70
XHE,1,3,classification,A_market_only,lasso,accuracy,0.48873868810193555,0.1666799491814478,69
XHE,1,3,classification,B_market_plus_literature,random_forest,accuracy,0.4847207596237543,0.15646437849627173,69
XHE,1,3,regression,A_market_only,random_forest,rmse,0.03829490805066815,0.015801184490102992,69
XHE,1,3,regression,B_market_plus_literature,random_forest,rmse,0.03640511951822769,0.014290801586802753,69
XHE,2,1,classification,A_market_only,xgboost,accuracy,0.4892803012613409,0.2502917982116368,70
