ticker,horizon_weeks,train_months,task,feature_set,n_folds
IHI,1,1,regression,A_market_only,71
IHI,1,1,regression,B_market_plus_literature,71
IHI,1,1,classification,A_market_only,71
IHI,1,1,classification,B_market_plus_literature,71
IHI,1,2,regression,A_market_only,70
IHI,1,2,regression,B_market_plus_literature,70
IHI,1,2,classification,A_market_only,70
IHI,1,2,classification,B_market_plus_literature,70
IHI,1,3,regression,A_market_only,69
IHI,1,3,regression,B_market_plus_literature,69
IHI,1,3,classification,A_market_only,69
IHI,1,3,classification,B_market_plus_literature,69
IHI,2,1,regression,A_market_only,70
IHI,2,1,regression,B_market_plus_literature,70
IHI,2,1,classification,A_market_only,70
IHI,2,1,classification,B_market_plus_literature,70
IHI,2,2,regression,A_market_only,70
IHI,2,2,regression,B_market_plus_literature,70
IHI,2,2,classification,A_market_only,70
IHI,2,2,classification,B_market_plus_literature,70
IHI,2,3,regression,A_market_only,69
IHI,2,3,regression,B_market_plus_literature,69
IHI,2,3,classification,A_market_only,69
IHI,2,3,classification,B_market_plus_literature,69
IHI,3,1,regression,A_market_only,70
IHI,3,1,regression,B_market_plus_literature,70
IHI,3,1,classification,A_market_only,70
IHI,3,1,classification,B_market_plus_literature,70
IHI,3,2,regression,A_market_only,70
IHI,3,2,regression,B_market_plus_literature,70
IHI,3,2,classification,A_market_only,70
IHI,3,2,classification,B_market_plus_literature,70
IHI,3,3,regression,A_market_only,69
IHI,3,3,regression,B_market_plus_literature,69
IHI,3,3,classification,A_market_only,69
IHI,3,3,classification,B_market_plus_literature,69
IHI,4,1,regression,A_market_only,69
IHI,4,1,regression,B_market_plus_literature,69
IHI,4,1,classification,A_market_only,70
IHI,4,1,classification,B_market_plus_literature,70
IHI,4,2,regression,A_market_only,69
IHI,4,2,regression,B_market_plus_literature,69
IHI,4,2,classification,A_market_only,70
IHI,4,2,classification,B_market_plus_literature,70
IHI,4,3,regression,A_market_only,68
IHI,4,3,regression,B_market_plus_literature,68
IHI,4,3,classification,A_market_only,69
IHI,4,3,classification,B_market_plus_literature,69
IHI,5,1,regression,A_market_only,69
IHI,5,1,regression,B_market_plus_literature,69
IHI,5,1,classification,A_market_only,70
IHI,5,1,classification,B_market_plus_literature,70
IHI,5,2,regression,A_market_only,69
IHI,5,2,regression,B_market_plus_literature,69
IHI,5,2,classification,A_market_only,70
IHI,5,2,classification,B_market_plus_literature,70
IHI,5,3,regression,A_market_only,68
IHI,5,3,regression,B_market_plus_literature,68
IHI,5,3,classification,A_market_only,69
IHI,5,3,classification,B_market_plus_literature,69
IHI,6,1,regression,A_market_only,68
IHI,6,1,regression,B_market_plus_literature,68
IHI,6,1,classification,A_market_only,69
IHI,6,1,classification,B_market_plus_literature,69
IHI,6,2,regression,A_market_only,68
IHI,6,2,regression,B_market_plus_literature,68
IHI,6,2,classification,A_market_only,69
IHI,6,2,classification,B_market_plus_literature,69
IHI,6,3,regression,A_market_only,68
IHI,6,3,regression,B_market_plus_literature,68
IHI,6,3,classification,A_market_only,69
IHI,6,3,classification,B_market_plus_literature,69
IHI,7,1,regression,A_market_only,68
IHI,7,1,regression,B_market_plus_literature,68
IHI,7,1,classification,A_market_only,69
IHI,7,1,classification,B_market_plus_literature,69
IHI,7,2,regression,A_market_only,68
IHI,7,2,regression,B_market_plus_literature,68
IHI,7,2,classification,A_market_only,69
IHI,7,2,classification,B_market_plus_literature,69
IHI,7,3,regression,A_market_only,68
